MAC_CODE,MANUFACTURER
00408C,Axis
ACCC8E,Axis
B8A44F,Axis
E82725,Axis
140708,CP PLUS
08EDED,Dahua
14A78B,Dahua
24526A,Dahua
30DDAA,Dahua
38AF29,Dahua
3CE36B,Dahua
3CEF8C,Dahua
407AA4,Dahua
4C11BF,Dahua
4C99E8,Dahua
5CF51A,Dahua
64FD29,Dahua
6C1C71,Dahua
74C929,Dahua
8CE9B4,Dahua
9002A9,Dahua
98F9CC,Dahua
9C1463,Dahua
A0BD1D,Dahua
B44C3B,Dahua
BC325F,Dahua
C0395A,Dahua
C4AAC4,Dahua
D4430E,Dahua
E02EFE,Dahua
E0508B,Dahua
E4246C,Dahua
F4B1C2,Dahua
F8CE07,Dahua
FC5F49,Dahua
FCB69D,Dahua
40336C,Godrej
00BC99,Hikvision
040312,Hikvision
04EECD,Hikvision
083BC1,Hikvision
085411,Hikvision
08A189,Hikvision
08CC81,Hikvision
0C75D2,Hikvision
1012FB,Hikvision
1868CB,Hikvision
188025,Hikvision
240F9B,Hikvision
2428FD,Hikvision
2432AE,Hikvision
244845,Hikvision
24B105,Hikvision
2857BE,Hikvision
2CA59C,Hikvision
340962,Hikvision
3C1BF8,Hikvision
40ACBF,Hikvision
4419B6,Hikvision
4447CC,Hikvision
44A642,Hikvision
4C1F86,Hikvision
4C62DF,Hikvision
4CBD8F,Hikvision
4CF5DC,Hikvision
50E538,Hikvision
548C81,Hikvision
54C415,Hikvision
5803FB,Hikvision
5850ED,Hikvision
5C345B,Hikvision
64DB8B,Hikvision
686DBC,Hikvision
743FC2,Hikvision
80489F,Hikvision
807C62,Hikvision
80BEAF,Hikvision
80F5AE,Hikvision
849459,Hikvision
849A40,Hikvision
88DE39,Hikvision
8C22D2,Hikvision
8CE748,Hikvision
94E1AC,Hikvision
988B0A,Hikvision
989DE5,Hikvision
98DF82,Hikvision
98F112,Hikvision
A0FF0C,Hikvision
A41437,Hikvision
A42902,Hikvision
A44BD9,Hikvision
A4A459,Hikvision
A4D5C2,Hikvision
ACB92F,Hikvision
ACCB51,Hikvision
B4A382,Hikvision
BC2978,Hikvision
BC5E33,Hikvision
BC9B5E,Hikvision
BCAD28,Hikvision
BCBAC2,Hikvision
C0517E,Hikvision
C056E3,Hikvision
C06DED,Hikvision
C42F90,Hikvision
C8A702,Hikvision
D4E853,Hikvision
DC07F8,Hikvision
DCD26A,Hikvision
E0BAAD,Hikvision
E0CA3C,Hikvision
E0DF13,Hikvision
E4D58B,Hikvision
E8A0ED,Hikvision
ECA971,Hikvision
ECC89C,Hikvision
F84DFC,Hikvision
FC9FFD,Hikvision
001B09,Matrix Comsec
48EA63,Uniview
6CF17E,Uniview
88263F,Uniview
C47905,Uniview
